Contaminacion,Empresa
"MATERIAS SEDIMENTABLES,BAHIA DE BIZKAIA ELECTRICIDAD"
"MATERIAS SEDIMENTABLES,ONDULINE MATERIALES DE CONSTRUCCION"
"MATERIAS SEDIMENTABLES,ARKEMA QUIMICA"
"MATERIAS SEDIMENTABLES,AYUNTAMIENTO DE VITORIA-GASTEIZ"
"MATERIAS SEDIMENTABLES,VASCONTAINER"
"MATERIAS SEDIMENTABLES,PAPELERA DE AMAROZ"
"MATERIAS SEDIMENTABLES,LASCARAY"
"MATERIAS SEDIMENTABLES,LEAF BUSINESS HOLDINGS SPAIN"
"MATERIAS SEDIMENTABLES,ZABALGARBI"
"SULFITOS,QUINTON HAZELL ESPAÑA"
"SULFITOS,AYUNTAMIENTO DE VITORIA-GASTEIZ"
"HEPTACLORO,MANCOMUNIDAD MUNICIPAL DE SAN MARCOS"
"HEPTACLORO,GARBIKER A.B. (S.A.)"
"HEPTACLORO,GARBIKER A.B. (S.A.)"
"HEPTACLORO,AYUNTAMIENTO DE VITORIA-GASTEIZ"
"HEPTACLORO,BILBOKO UDALA - AYUNTAMIENTO DE BILBAO"
"HEPTACLORO,GARBIKER A.B. (S.A.)"
"HEPTACLORO,GENERAL QUIMICA"
"HEPTACLORO,MANCOMUNIDAD MUNICIPAL DE SAN MARCOS"
"HEPTACLORO,GARBIKER A.B. (S.A.)"
"HEPTACLORO,BILBAINA DE ALQUITRANES"
"HEPTACLORO,GARBIKER A.B. (S.A.)"
"CADMIO,INYECTAMETAL"
"CADMIO,SOGECAR"
"CADMIO,ARCELORMITTAL ESPAÑA"
"CADMIO,LAMINADOS DE ARETXABALETA"
"CADMIO,FAGOR EDERLAN"
"BORO,GALVANIZADOS ARRATE"
"BORO,CESPA CONTEN"
"BORO,INDUSTRIAS GALYCAS"
"BORO,VASCONTAINER"
"BORO,INDUSTRIAS DIMO"
"BORO,INDUSTRIAS DIMO"
"BORO,AYUNTAMIENTO DE VITORIA-GASTEIZ"
"BORO,CESPA CONTEN"
"BORO,PEMCO ESMALTES"
"BORO,EKONOR"
"BORO,GALVANIZADOS VITORIA"
"COBALTO,AYUNTAMIENTO DE VITORIA-GASTEIZ"
"COBALTO,INDUSTRIAS GALYCAS"
"COBALTO,GARBIKER A.B. (S.A.)"
"COBALTO,GALVANIZADOS VITORIA"
"COBALTO,GARBIKER A.B. (S.A.)"
"COBALTO,INDUSTRIAS DIMO"
"COBALTO,INDUSTRIAS DIMO"
"ANTRACENO,ONDULINE MATERIALES DE CONSTRUCCION"
"ANTRACENO,PAPELERA DEL ORIA"
"ANTRACENO,TUBACEX TUBOS INOXIDABLES"
"ANTRACENO,EUSKAL KATAFORESIS"
"ANTRACENO,GARBIKER A.B. (S.A.)"
"ANTRACENO,GARBIKER A.B. (S.A.)"
"ANTRACENO,BILBOKO UDALA - AYUNTAMIENTO DE BILBAO"
"ANTRACENO,LAMINADOS LOSAL"
"ANTRACENO,BILBAINA DE ALQUITRANES"
"ANTRACENO,CROMADOS AZKOITIA"
"ANTRACENO,GARBIKER A.B. (S.A.)"
"ANTRACENO,ACERIA DE ALAVA,"
"ANTRACENO,TENNECO AUTOMOTIVE IBERICA"
"ANTRACENO,SIDENOR INDUSTRIAL"
"ANTRACENO,BILBOZINC"
"ANTRACENO,GARBIKER A.B. (S.A.)"
"ANTRACENO,AYUNTAMIENTO DE VITORIA-GASTEIZ"
"ANTRACENO,MANCOMUNIDAD MUNICIPAL DE SAN MARCOS"
"ANTRACENO,SIDENOR INDUSTRIAL"
"ANTRACENO,FAGOR EDERLAN"
"ANTRACENO,GENERAL QUIMICA"
"ANTRACENO,TALLERES DE ESCORIAZA"
"ANTRACENO,MANCOMUNIDAD MUNICIPAL DE SAN MARCOS"
"ANTRACENO,GARBIKER A.B. (S.A.)"
"ALACLORO,GARBIKER A.B. (S.A.)"
"ALACLORO,MANCOMUNIDAD MUNICIPAL DE SAN MARCOS"
"ALACLORO,BILBAINA DE ALQUITRANES"
"ALACLORO,GARBIKER A.B. (S.A.)"
"ALACLORO,GENERAL QUIMICA"
"ALACLORO,BILBOKO UDALA - AYUNTAMIENTO DE BILBAO"
"ALACLORO,MANCOMUNIDAD MUNICIPAL DE SAN MARCOS"
"ALACLORO,GARBIKER A.B. (S.A.)"
"ALACLORO,GARBIKER A.B. (S.A.)"
"ALACLORO,GARBIKER A.B. (S.A.)"
"ZINC Y SUS COMPUESTOS,NUBIOLA PIGMENTOS"
"ZINC Y SUS COMPUESTOS,HIJOS DE JUAN DE GARAY,S.A."
"ZINC Y SUS COMPUESTOS,BEFESA ALUMINIO BILBAO"
"ZINC Y SUS COMPUESTOS,ALDETU"
"ZINC Y SUS COMPUESTOS,SIDENOR INDUSTRIAL"
"ZINC Y SUS COMPUESTOS,LEAZ VALORIZACIONES"
"ZINC Y SUS COMPUESTOS,FUNDICIONES GARBI"
"ZINC Y SUS COMPUESTOS,SEBERIA BILBAINA"
"ZINC Y SUS COMPUESTOS,OBE HETTICH"
"ZINC Y SUS COMPUESTOS,INDUSTRIAS GALYCAS"
"ZINC Y SUS COMPUESTOS,LITOGRAFIA ALAVESA, S.L."
"ZINC Y SUS COMPUESTOS,LARRABE OILOTEGIA SAT Nº 130"
"ZINC Y SUS COMPUESTOS,MEBUNIK, S.A."
"ZINC Y SUS COMPUESTOS,TENNECO AUTOMOTIVE IBERICA"
"ZINC Y SUS COMPUESTOS,FUCHOSA"
"ZINC Y SUS COMPUESTOS,IBERDROLA GENERACION, S.A.U."
"ZINC Y SUS COMPUESTOS,INDUMETAL RECYCLING, S.A."
"ZINC Y SUS COMPUESTOS,BIZKAIA ENERGIA"
"ZINC Y SUS COMPUESTOS,HIDROELECTRICA IBERICA"
"ZINC Y SUS COMPUESTOS,ZABALGARBI"
"ZINC Y SUS COMPUESTOS,TS FUNDICIONES"
"ZINC Y SUS COMPUESTOS,ORONA"
"ZINC Y SUS COMPUESTOS,CESPA GR"
"ZINC Y SUS COMPUESTOS,MANCOMUNIDAD DE SASIETA"
"ZINC Y SUS COMPUESTOS,VASCONTAINER"
"ZINC Y SUS COMPUESTOS,CROMADOS ARRIZABALAGA"
"ZINC Y SUS COMPUESTOS,CANDY HOOVER ELECTRODOMESTICOS"
"ZINC Y SUS COMPUESTOS,GARBIKER A.B. (S.A.)"
"ZINC Y SUS COMPUESTOS,GARBIKER A.B. (S.A.)"
"ZINC Y SUS COMPUESTOS,TUBACEX TUBOS INOXIDABLES"
"ZINC Y SUS COMPUESTOS,MAXAM EUROPE"
"ZINC Y SUS COMPUESTOS,DEKITRA"
"ZINC Y SUS COMPUESTOS,ACERIA DE ALAVA,"
"ZINC Y SUS COMPUESTOS,MERCEDES-BENZ ESPAÑA"
"ZINC Y SUS COMPUESTOS,BEFESA ZINC AMOREBIETA"
"ZINC Y SUS COMPUESTOS,MICHELIN ESPAÑA PORTUGAL"
"ZINC Y SUS COMPUESTOS,VICTORIO LUZURIAGA-USURBIL"
"ZINC Y SUS COMPUESTOS,CELAYA EMPARANZA Y GALDOS INTERNACIONAL S.A."
"ZINC Y SUS COMPUESTOS,FAGOR EDERLAN"
"ZINC Y SUS COMPUESTOS,VIDRIERIA Y CRISTALERIA DE LAMIACO"
"ZINC Y SUS COMPUESTOS,ARKEMA QUIMICA"
"ZINC Y SUS COMPUESTOS,OLAZABAL Y HUARTE"
"ZINC Y SUS COMPUESTOS,ALCOA TRANSFORMACION DE PRODUCTOS"
"ZINC Y SUS COMPUESTOS,CELAYA EMPARANZA Y GALDOS INTERNACIONAL S.A."
"ZINC Y SUS COMPUESTOS,EVONIK SILQUIMICA"
"ZINC Y SUS COMPUESTOS,MAIER"
"ZINC Y SUS COMPUESTOS,ONDULINE MATERIALES DE CONSTRUCCION"
"ZINC Y SUS COMPUESTOS,GKN DRIVELINE ZUMAIA"
"ZINC Y SUS COMPUESTOS,INYECTAMETAL"
"ZINC Y SUS COMPUESTOS,BEFESA ZINC ASER"
"ZINC Y SUS COMPUESTOS,GARBIKER A.B. (S.A.)"
"ZINC Y SUS COMPUESTOS,PRODUCTOS TUBULARES"
"ZINC Y SUS COMPUESTOS,TRADEBE"
"ZINC Y SUS COMPUESTOS,INDUSTRIAS APERRIBAY"
"ZINC Y SUS COMPUESTOS,UROLA KOSTAKO UDAL ELKARTEA"
"ZINC Y SUS COMPUESTOS,KROSAKI AMR REFRACTARIOS S.A.U."
"ZINC Y SUS COMPUESTOS,MIRVAT"
"ZINC Y SUS COMPUESTOS,PAPEL ARALAR"
"ZINC Y SUS COMPUESTOS,SIDENOR INDUSTRIAL"
"ZINC Y SUS COMPUESTOS,FUNDICIONES URBINA"
"ZINC Y SUS COMPUESTOS,PIROTECNIA LECEA"
"ZINC Y SUS COMPUESTOS,NOVACERO"
"ZINC Y SUS COMPUESTOS,TS FUNDICIONES"
"ZINC Y SUS COMPUESTOS,FUNDICIONES WIND ENERGY CASTINH"
"ZINC Y SUS COMPUESTOS,EKONOR"
"ZINC Y SUS COMPUESTOS,FURESA"
"ZINC Y SUS COMPUESTOS,PRODUCTOS DE FUNDICION"
"ZINC Y SUS COMPUESTOS,BILBOKO UDALA - AYUNTAMIENTO DE BILBAO"
"ZINC Y SUS COMPUESTOS,KIMBERLY CLARK"
"ZINC Y SUS COMPUESTOS,ELECTROQUIMICA DE HERNANI"
"ZINC Y SUS COMPUESTOS,PERFILES ESPECILES SELAK"
"ZINC Y SUS COMPUESTOS,INDUSTRIAS FEGAR"
"ZINC Y SUS COMPUESTOS,AMPO"
"ZINC Y SUS COMPUESTOS,INDUSTRIA DE TURBO PROPULSORES"
"ZINC Y SUS COMPUESTOS,KIME, S.A."
"ZINC Y SUS COMPUESTOS,MICHELIN ESPAÑA PORTUGAL"
"ZINC Y SUS COMPUESTOS,AYUNTAMIENTO DE VITORIA-GASTEIZ"
"ZINC Y SUS COMPUESTOS,NERVACERO"
"ZINC Y SUS COMPUESTOS,TALLERES FABIO MURGA"
"ZINC Y SUS COMPUESTOS,J.L. FRENCH ANSOLA"
"ZINC Y SUS COMPUESTOS,ILARDUYA PRODUCTOS DE FUNDICION, S.L.U."
"ZINC Y SUS COMPUESTOS,CINTAS ADHESIVAS UBIS"
"ZINC Y SUS COMPUESTOS,HIERROS EGUINO"
"ZINC Y SUS COMPUESTOS,FAGOR ELECTRODOMESTICOS"
"ZINC Y SUS COMPUESTOS,CESPA CONTEN"
"ZINC Y SUS COMPUESTOS,PEMCO ESMALTES"
"ZINC Y SUS COMPUESTOS,CROMADOS AZKOITIA"
"ZINC Y SUS COMPUESTOS,DIC COATINGS"
"ZINC Y SUS COMPUESTOS,LAMINADOS LOSAL"
"ZINC Y SUS COMPUESTOS,PRODUCTOS TUBULARES"
"ZINC Y SUS COMPUESTOS,INYECTADOS GABI"
"ZINC Y SUS COMPUESTOS,MANCOMUNIDAD COMARCAL DE DEBABARRENA"
"ZINC Y SUS COMPUESTOS,CELULOSAS MOLDEADAS"
"ZINC Y SUS COMPUESTOS,TARABUSI"
"ZINC Y SUS COMPUESTOS,SARRIOPAPEL Y CELULOSA"
"ZINC Y SUS COMPUESTOS,FUNDICIONES SAN ELOY"
