Empresa,Frecuencia
BEFESA DESULFURACION,18
DOW CHEMICAL IBERICA,30
GRUPO AMCOR FLEXIBLES HISPANIA,9
INDUSTRIA DE MADERAS AGLOMERADAS,16
DEBAGOIENEKO MANKOMUNITATEA,3
MAIER,22
AVICOLA GORROTXATEGI,2
OBE HETTICH,34
MUGAPE,30
FUNDICIONES WIND ENERGY CASTINH,13
GALVANOTECNIA Y DERIVADOS,2
BETSAIDE,8
SOCIEDAD GANADERA GUROKELA 2004,7
"CONDESA FABRIL, S.A.",18
J.L. FRENCH ANSOLA,11
EUSKAL KATAFORESIS,13
ONDULINE MATERIALES DE CONSTRUCCION,13
INDUSTRIA DE TURBO PROPULSORES,28
PEMCO ESMALTES,5
INDUSTRIAS GALYCAS,25
LAMINADOS LOSAL,8
FUNDICIONES FUMBARRI-DURANGO,9
LARRABE OILOTEGIA SAT Nº 130,1
CELULOSAS DE HERNANI,4
CELSA ATLANTIC,34
FYTASA FUNDICIONES,8
VIDRIERIA Y CRISTALERIA DE LAMIACO,19
BEFESA ALUMINIO BILBAO,12
VICTORIO LUZURIAGA-USURBIL,21
TREFILADOS DE URBINA,7
TALLERES DE ESCORIAZA,53
ACID REGENERATION SERVICE SPAIN I,13
PRODUCTOS TUBULARES,38
INDUSTRIAS DIMO,27
ASUA PRODUCTS,1
NERVACERO,30
FUNDICION NODULAR FLESIC,8
PAPELERA DEL ORIA,5
SK2024 AERONAUTICA,12
DEKITRA,32
CONSTRUCCIONES Y AUXILIAR DE FERROCARRILES,45
OLAZABAL Y HUARTE,15
FAES FARMA,17
JESUS OÑATE Y HERMANOS,14
CESPA CONTEN,4
DIC COATINGS,9
IRIZAR,22
FUNDIAL,3
PAPELERA DE AMAROZ,6
ATUSA EMPRESARIAL,16
TALLERES FABIO MURGA,10
"ZUBIALDE,S.A.",12
BIONOR BERANTEVILLA,12
CALERA DE ALZO,10
"FUNDICIONES GELMA,",6
SDAD. COOP IND FUND MEALICAS SAN VICENTE,2
ALGODONERA DE SAN ANTONIO INDUSTRIAL,14
CABARRI,9
"GAMARRA, S.A.",8
CANDY HOOVER ELECTRODOMESTICOS,14
MERCEDES-BENZ ESPAÑA,45
MANCOMUNIDAD MUNICIPAL DE SAN MARCOS,11
BUNGE IBERICA,13
SNA EUROPE INDUSTRIES IBERIA,56
SAVASA IMP,10
QUINTON HAZELL ESPAÑA,20
SERVICIOS ECOLOGICOS ACITAIN,6
EKONOR,25
AYUNTAMIENTO DE VITORIA-GASTEIZ,1
WILLET CINCUENTA,3
MAXAM U.E.B.,14
OFITA INTERIORES S.A.,13
AIALA VIDRIO,22
CROWN EMBALAJES ESPAÑA,20
IBAI ONDO FUNDICIONES,3
AVICOLA SAN BLAS,2
FURESA,9
TARABUSI,21
TENNECO AUTOMOTIVE IBERICA,27
FUNDICIONES PALACIO,8
BILBAINA DE ALQUITRANES,11
"IBERDROLA GENERACION, S.A.U.",44
ELECTROQUIMICA DE HERNANI,7
BEFESA ZINC SONDIKA,4
CROMADOS AZKOITIA,1
GENERAL QUIMICA,29
"ILARDUYA PRODUCTOS DE FUNDICION, S.L.U.",25
"HIJOS DE JUAN DE GARAY,S.A.",29
TRADEBE,7
ARCELORMITTAL ESPAÑA,51
"ESTAMPACIONES METALICAS BIZKAIA, S.A.",19
GUARDIAN LLODIO UNO,30
PRODUCTOS DE FUNDICION,10
FUNDICION EN CASCARA,7
INYECTADOS GABI,5
HELADOS Y POSTRES,20
AVICOLA BENIGNO ASPURU S.L.,5
COMPAÑIA NORTEÑA DE BEBIDAS GASEOSAS (NORBEGA),15
LAMINADOS DE ARETXABALETA,1
CESPA GR,3
CINTAS ADHESIVAS UBIS,10
ALCOA TRANSFORMACION DE PRODUCTOS,28
AMPO,15
FUNDICIONES DEL ESTANDA,12
INDUSTRIAS FEGAR,7
ECN CABLE GROUP,15
AMURRIO FERROCARRIL Y EQUIPOS,13
FUNDICIONES SAN ELOY,14
BILBOZINC,5
MICHELIN ESPAÑA PORTUGAL,77
"INDUMETAL RECYCLING, S.A.",37
PASTGUREN,6
EDERFIL,6
MONTORRETAS,9
ESNELAT,6
ARCELORMITTAL SESTAO,40
BILBOKO UDALA - AYUNTAMIENTO DE BILBAO,8
ARAGONESA DE PIENSOS,3
KIMBERLY CLARK,10
MUNKSJÖ PAPER,6
GKN DRIVELINE ZUMAIA,26
PAPRESA,18
TS FUNDICIONES,12
BIZKAIA ENERGIA,19
TALLER AUXILIAR DE GALVANOTECNIA ALAVESA,8
CELAYA EMPARANZA Y GALDOS INTERNACIONAL S.A.,47
JEZ SISTEMAS FERROVIARIOS,10
INDUSTRIAS ARAMENDI,3
NUBIOLA PIGMENTOS,14
GALVANIZADOS VITORIA,9
ARKEMA QUIMICA,43
ANODIZADOS ESPECIALES Y DUROS,4
CELULOSAS MOLDEADAS,14
INQUITEX,21
METALES IBERICA ARANZADI,3
GALVANIZADOS OLAIZOLA,9
FMC-FORET,11
MANUEL GARCIA MENDOZA,7
TUBACEX TUBOS INOXIDABLES,60
